Thread_ID,Block_ID,Thickness,Density,R,G,B
88,38,163.0,1.0061349693251531,56.4047256097561,72.2016768292683,202.6748475609756
89,39,163.0,1.0061349693251531,56.1202743902439,72.27713414634147,202.2324695121951
90,40,163.0,1.0061349693251531,56.90670731707317,72.89298780487805,205.11021341463416
91,41,163.0,1.0061349693251531,57.45640243902439,73.48460365853659,206.53368902439024
92,42,163.0,1.0061349693251531,58.46646341463415,75.14908536585367,210.25975609756097
93,43,163.0,1.0061349693251531,58.96432926829268,75.26585365853659,211.67942073170727
94,44,163.0,1.0061349693251531,59.4452743902439,75.48658536585366,212.79435975609755
95,45,163.0,1.0061349693251531,59.88094512195122,76.48658536585366,213.8221036585365
96,46,163.0,1.0061349693251531,60.25182926829268,77.3689024390244,216.1685975609756
97,47,163.0,1.0061349693251531,60.55548780487805,76.84573170731707,215.85564024390243
98,48,163.0,1.0061349693251531,60.70884146341464,76.50198170731707,215.6240853658537
99,49,163.0,1.0061349693251531,61.485975609756096,77.6202743902439,217.32728658536584
100,50,163.0,1.0061349693251531,62.11692073170732,78.25335365853658,219.6321646341464
101,51,163.0,1.0061349693251531,62.91966463414634,79.5952743902439,221.72606707317075
102,52,163.0,1.0061349693251531,62.482317073170734,78.64024390243902,220.7634146341464
103,53,163.0,1.0061349693251531,62.45564024390244,78.81326219512195,220.90548780487805
104,54,163.0,1.0061349693251531,62.23521341463415,78.48307926829268,220.0265243902439
106,3,165.0,1.006060606060606,57.68117469879518,73.61581325301205,207.52771084337348
107,4,165.0,1.006060606060606,60.00828313253012,76.19201807228916,214.99457831325304
108,5,165.0,1.006060606060606,60.57349397590362,76.78900602409638,216.5893072289157
109,6,165.0,1.006060606060606,61.9953313253012,78.25873493975904,220.77138554216867
110,7,165.0,1.006060606060606,62.57018072289157,79.23027108433735,223.28930722891567
111,8,165.0,1.006060606060606,63.66355421686747,80.582078313253,226.54442771084337
112,9,165.0,1.006060606060606,64.56280120481928,81.05512048192772,228.92274096385543
113,10,165.0,1.006060606060606,64.61777108433735,81.62063253012049,229.4534638554217
114,11,165.0,1.006060606060606,65.26069277108434,82.29668674698796,231.31611445783133
115,12,165.0,1.006060606060606,66.05045180722891,83.73900602409638,233.84337349397592
116,13,165.0,1.006060606060606,65.84683734939759,83.76686746987951,233.91686746987952
117,14,165.0,1.006060606060606,66.60903614457831,84.66385542168675,235.94939759036143
118,15,165.0,1.006060606060606,66.62123493975903,84.55602409638554,235.5605421686747
119,16,165.0,1.006060606060606,66.98704819277108,85.58117469879518,237.08207831325305
120,17,165.0,1.006060606060606,67.2171686746988,86.03885542168675,238.0465361445783
121,18,165.0,1.006060606060606,66.6058734939759,85.02379518072289,236.1051204819277
122,19,165.0,1.006060606060606,66.51506024096386,85.3237951807229,236.6292168674699
123,20,165.0,1.006060606060606,66.4460843373494,85.3882530120482,236.3201807228916
124,21,165.0,1.006060606060606,66.18012048192772,84.42048192771084,235.2496987951808
125,22,165.0,1.006060606060606,64.92003012048193,82.84096385542169,231.91039156626505
126,23,165.0,1.006060606060606,64.1085843373494,82.78734939759036,230.4109939759036
127,24,165.0,1.006060606060606,63.5066265060241,82.32409638554216,228.1099397590361
128,25,165.0,1.006060606060606,63.05406626506024,81.21566265060241,226.585843373494
